Feature Set,Oversampling Method,Classifier,Best Params,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,Test Balanced Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC-AUC
mRMR_RF,RandomOversampling,GXBoost,"{'classifier__colsample_bytree': 0.6820075809577155, 'classifier__learning_rate': 0.03121257489525315, 'classifier__max_depth': 6, 'classifier__n_estimators': 124, 'classifier__subsample': 0.8717602094100566}",0.7969892473118281,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
ANOVA,RandomOversampling,GXBoost,"{'classifier__colsample_bytree': 0.6820075809577155, 'classifier__learning_rate': 0.03121257489525315, 'classifier__max_depth': 6, 'classifier__n_estimators': 124, 'classifier__subsample': 0.8717602094100566}",0.75435736677116,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
AllFeatures,SMOTE,GXBoost,"{'classifier__colsample_bytree': 0.6901416652770782, 'classifier__learning_rate': 0.14403485937853913, 'classifier__max_depth': 4, 'classifier__n_estimators': 77, 'classifier__subsample': 0.6382168615441461}",0.7673744781249854,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
AllFeatures,RandomOversampling,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 101}",0.7897531769305963,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222,0.4722222222222222,0.65,0.7222222222222222,0.6842105263157895,0.4722222222222222
LASSO,SMOTE,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 4, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 136}",0.7464947089947089,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667,0.41666666666666663,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667
LASSO,RandomOversampling,GXBoost,"{'classifier__colsample_bytree': 0.8436250266208839, 'classifier__learning_rate': 0.018803208471130477, 'classifier__max_depth': 6, 'classifier__n_estimators': 115, 'classifier__subsample': 0.965814688489979}",0.7285628476084538,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667,0.41666666666666663,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667
ANOVA,RandomOversampling,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 9, 'classifier__n_estimators': 101}",0.7545235446792733,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667,0.41666666666666663,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667
LASSO,ADASYN,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 115}",0.7054783884594785,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667,0.41666666666666663,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667
mRMR_MIQ,SMOTE,SVM,"{'classifier__C': 9.619097422366776, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.7847867412939715,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667,0.41666666666666663,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667
RF,ADASYN,GXBoost,"{'classifier__colsample_bytree': 0.8751979674312591, 'classifier__learning_rate': 0.025400315642701236, 'classifier__max_depth': 3, 'classifier__n_estimators': 61, 'classifier__subsample': 0.6214700617086615}",0.7907554810780617,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
ANOVA,SMOTETomek,LogisticRegression,"{'classifier__C': 0.2010694787246603, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.7865172461946657,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
ANOVA,SMOTETomek,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 93}",0.7087557603686637,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667,0.41666666666666663,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.4166666666666667
AllFeatures,RandomOversampling,SVM,"{'classifier__C': 1.8915196003850598, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.7597492163009404,0.631578947368421,0.6666666666666666,0.6486486486486487,0.4444444444444444,0.4444444444444444,0.631578947368421,0.6666666666666666,0.6486486486486487,0.4444444444444444
RF,RandomOversampling,GXBoost,"{'classifier__colsample_bytree': 0.8743706391008104, 'classifier__learning_rate': 0.026199270576031455, 'classifier__max_depth': 5, 'classifier__n_estimators': 164, 'classifier__subsample': 0.9883673511683231}",0.8240464272472059,0.631578947368421,0.6666666666666666,0.6486486486486487,0.4444444444444444,0.4444444444444444,0.631578947368421,0.6666666666666666,0.6486486486486487,0.4444444444444444
RF,ADASYN,RandomForest,"{'classifier__bootstrap': False, 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 89}",0.7960990700479021,0.631578947368421,0.6666666666666666,0.6486486486486487,0.4444444444444444,0.4444444444444444,0.631578947368421,0.6666666666666666,0.6486486486486487,0.4444444444444444
RF,SMOTETomek,RandomForest,"{'classifier__bootstrap': True, 'classifier__max_depth': 11, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 110}",0.8011188811188811,0.631578947368421,0.6666666666666666,0.6486486486486487,0.4444444444444444,0.4444444444444444,0.631578947368421,0.6666666666666666,0.6486486486486487,0.4444444444444444
