Feature Set;Oversampling Method;Classifier;Best Params;ROC-AUC;Test Balanced Accuracy;Test Precision;Test Recall;Test F1-Score;Test ROC-AUC
mRMR_MIQ;ADASYN;SVM;{'classifier__C': 3.478039703467236, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'};0.698;0.5;0.667;1;0.8;0.512
RF;SMOTE;SVM;{'classifier__C': 5.890145188953979, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'};0.751;0.5;0.667;1;0.8;0.377
RF;SMOTE;XGBoost;{'classifier__colsample_bytree': 0.7895382813632874, 'classifier__learning_rate': 0.09965916489606091, 'classifier__max_depth': 5, 'classifier__n_estimators': 160, 'classifier__subsample': 0.8409794156032506};0.668;0.5;0.667;1;0.8;0.525
RF;SMOTE;RandomForest;{'classifier__bootstrap': True, 'classifier__max_depth': 14, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 112};0.669;0.5;0.667;1;0.8;0.525
RF;SMOTE;KNN;{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'};0.637;0.5;0.667;1;0.8;0.355
ANOVA;SMOTE;SVM;{'classifier__C': 0.17487934816630912, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.667;0.5;0.667;1;0.8;0.525
AllFeatures;RandomOverSampler;KNN;{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 14, 'classifier__weights': 'distance'};0.542;0.5;0.667;1;0.8;0.444
AllFeatures;RandomOverSampler;SVM;{'classifier__C': 1.8915196003850598, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'};0.574;0.5;0.667;1;0.8;0.42
AllFeatures;RandomOverSampler;XGBoost;{'classifier__colsample_bytree': 0.6725336084348589, 'classifier__learning_rate': 0.20448656612519145, 'classifier__max_depth': 7, 'classifier__n_estimators': 118, 'classifier__subsample': 0.6653073009035249};0.61;0.5;0.667;1;0.8;0.451
AllFeatures;RandomOverSampler;MLPC;{'classifier__solver': 'adam', 'classifier__max_iter': 300, 'classifier__learning_rate': 'adaptive', 'classifier__hidden_layer_sizes': (20,), 'classifier__early_stopping': True, 'classifier__alpha': 0.0001, 'classifier__activation': 'relu'};0.606;0.5;0.667;1;0.8;0.494
